,#RIC,Date[G],Time[G],GMT Offset,Type,Ex/Cntrb.ID,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,Qualifiers
168,ADSGn.DE,20151001,06:59:39.716,2,Auction,,72.7,8122,,,,,
169,ADSGn.DE,20151001,06:59:39.756,2,Auction,,72.7,8109,,,,,
170,ADSGn.DE,20151001,06:59:39.816,2,Auction,,72.7,8107,,,,,
171,ADSGn.DE,20151001,06:59:39.886,2,Auction,,72.7,8106,,,,,
172,ADSGn.DE,20151001,06:59:40.116,2,Auction,,72.7,8426,,,,,
173,ADSGn.DE,20151001,06:59:40.196,2,Auction,,72.7,8506,,,,,
174,ADSGn.DE,20151001,06:59:40.996,2,Auction,,72.7,8186,,,,,
175,ADSGn.DE,20151001,06:59:40.996,2,Auction,,72.7,8506,,,,,
176,ADSGn.DE,20151001,06:59:41.026,2,Auction,,72.7,8186,,,,,
177,ADSGn.DE,20151001,06:59:41.096,2,Auction,,72.7,8122,,,,,
178,ADSGn.DE,20151001,06:59:41.116,2,Auction,,72.7,8109,,,,,
179,ADSGn.DE,20151001,06:59:41.166,2,Auction,,72.7,8107,,,,,
180,ADSGn.DE,20151001,06:59:41.186,2,Auction,,72.7,8106,,,,,
181,ADSGn.DE,20151001,06:59:41.506,2,Auction,,72.7,8426,,,,,
182,ADSGn.DE,20151001,06:59:41.556,2,Auction,,72.7,8506,,,,,
183,ADSGn.DE,20151001,06:59:41.746,2,Auction,,72.7,8186,,,,,
184,ADSGn.DE,20151001,06:59:41.796,2,Auction,,72.7,8122,,,,,
185,ADSGn.DE,20151001,06:59:41.836,2,Auction,,72.7,8109,,,,,
186,ADSGn.DE,20151001,06:59:41.866,2,Auction,,72.7,8107,,,,,
187,ADSGn.DE,20151001,06:59:41.886,2,Auction,,72.7,8106,,,,,
188,ADSGn.DE,20151001,06:59:42.006,2,Auction,,72.7,8426,,,,,
189,ADSGn.DE,20151001,06:59:42.066,2,Auction,,72.7,8506,,,,,
190,ADSGn.DE,20151001,06:59:42.506,2,Auction,,72.7,8186,,,,,
191,ADSGn.DE,20151001,06:59:42.556,2,Auction,,72.7,8122,,,,,
192,ADSGn.DE,20151001,06:59:42.596,2,Auction,,72.7,8109,,,,,
193,ADSGn.DE,20151001,06:59:42.616,2,Auction,,72.7,8107,,,,,
194,ADSGn.DE,20151001,06:59:42.636,2,Auction,,72.7,8106,,,,,
195,ADSGn.DE,20151001,06:59:43.025,2,Auction,,72.7,8426,,,,,
196,ADSGn.DE,20151001,06:59:43.096,2,Auction,,72.7,8506,,,,,
197,ADSGn.DE,20151001,06:59:45.206,2,Auction,,72.7,8186,,,,,
198,ADSGn.DE,20151001,06:59:45.216,2,Auction,,72.7,8506,,,,,
199,ADSGn.DE,20151001,06:59:45.246,2,Auction,,72.7,8442,,,,,
200,ADSGn.DE,20151001,06:59:45.336,2,Auction,,72.7,8506,,,,,
201,ADSGn.DE,20151001,06:59:45.726,2,Auction,,72.7,8186,,,,,
202,ADSGn.DE,20151001,06:59:45.766,2,Auction,,72.7,8122,,,,,
203,ADSGn.DE,20151001,06:59:45.806,2,Auction,,72.7,8109,,,,,
204,ADSGn.DE,20151001,06:59:45.826,2,Auction,,72.7,8107,,,,,
205,ADSGn.DE,20151001,06:59:45.866,2,Auction,,72.7,8106,,,,,
206,ADSGn.DE,20151001,06:59:46.226,2,Auction,,72.7,8426,,,,,
207,ADSGn.DE,20151001,06:59:46.246,2,Auction,,72.7,8106,,,,,
208,ADSGn.DE,20151001,06:59:46.266,2,Auction,,72.7,8186,,,,,
209,ADSGn.DE,20151001,06:59:46.336,2,Auction,,72.7,8122,,,,,
210,ADSGn.DE,20151001,06:59:46.366,2,Auction,,72.7,8109,,,,,
211,ADSGn.DE,20151001,06:59:46.396,2,Auction,,72.7,8107,,,,,
212,ADSGn.DE,20151001,06:59:46.416,2,Auction,,72.7,8106,,,,,
213,ADSGn.DE,20151001,06:59:46.726,2,Auction,,72.7,8426,,,,,
214,ADSGn.DE,20151001,06:59:46.775,2,Auction,,72.7,8506,,,,,
215,ADSGn.DE,20151001,06:59:47.466,2,Auction,,72.7,8186,,,,,
216,ADSGn.DE,20151001,06:59:47.525,2,Auction,,72.7,8122,,,,,
217,ADSGn.DE,20151001,06:59:47.556,2,Auction,,72.7,8109,,,,,
218,ADSGn.DE,20151001,06:59:47.586,2,Auction,,72.7,8107,,,,,
219,ADSGn.DE,20151001,06:59:47.616,2,Auction,,72.7,8106,,,,,
220,ADSGn.DE,20151001,06:59:47.986,2,Auction,,72.7,8426,,,,,
221,ADSGn.DE,20151001,06:59:48.046,2,Auction,,72.7,8506,,,,,
222,ADSGn.DE,20151001,06:59:48.076,2,Auction,,72.7,8186,,,,,
223,ADSGn.DE,20151001,06:59:48.136,2,Auction,,72.7,8122,,,,,
224,ADSGn.DE,20151001,06:59:48.156,2,Auction,,72.7,8109,,,,,
225,ADSGn.DE,20151001,06:59:48.185,2,Auction,,72.7,8107,,,,,
226,ADSGn.DE,20151001,06:59:48.206,2,Auction,,72.7,8106,,,,,
227,ADSGn.DE,20151001,06:59:48.506,2,Auction,,72.7,8426,,,,,
228,ADSGn.DE,20151001,06:59:48.536,2,Auction,,72.7,8506,,,,,
229,ADSGn.DE,20151001,06:59:49.366,2,Auction,,72.7,8186,,,,,
230,ADSGn.DE,20151001,06:59:49.376,2,Auction,,72.7,8506,,,,,
231,ADSGn.DE,20151001,06:59:49.386,2,Auction,,72.7,8186,,,,,
232,ADSGn.DE,20151001,06:59:49.416,2,Auction,,72.7,8122,,,,,
233,ADSGn.DE,20151001,06:59:49.466,2,Auction,,72.7,8109,,,,,
234,ADSGn.DE,20151001,06:59:49.496,2,Auction,,72.7,8107,,,,,
235,ADSGn.DE,20151001,06:59:49.546,2,Auction,,72.7,8106,,,,,
236,ADSGn.DE,20151001,06:59:49.855,2,Auction,,72.7,8426,,,,,
237,ADSGn.DE,20151001,06:59:49.916,2,Auction,,72.7,8506,,,,,
238,ADSGn.DE,20151001,06:59:55.796,2,Auction,,72.7,8668,,,,,
239,ADSGn.DE,20151001,06:59:55.876,2,Auction,,72.7,8709,,,,,
240,ADSGn.DE,20151001,06:59:59.336,2,Auction,,72.78,8712,,,,,
241,ADSGn.DE,20151001,06:59:59.746,2,Auction,,72.89,10788,,,,,
242,ADSGn.DE,20151001,06:59:59.855,2,Auction,,72.86,11263,,,,,
243,ADSGn.DE,20151001,07:00:22.029,2,Quote,,,,72.7,4000,72.86,62,OCALL [GV1_TEXT];INP[PRC_QL2]
244,ADSGn.DE,20151001,07:00:22.029,2,Auction,,0,0,,,,,
245,ADSGn.DE,20151001,07:00:22.029,2,Trade,,72.86,11263,,,,,A[ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
246,ADSGn.DE,20151001,07:00:22.059,2,Quote,,,,72.71,136,72.86,7,TRADE [GV1_TEXT];   [PRC_QL2]
247,ADSGn.DE,20151001,07:00:22.059,2,Trade,,72.86,55,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
248,ADSGn.DE,20151001,07:00:22.069,2,Quote,,,,,,72.86,76,TRADE [GV1_TEXT];   [PRC_QL2]
249,ADSGn.DE,20151001,07:00:22.069,2,Quote,,,,,,72.86,69,TRADE [GV1_TEXT];   [PRC_QL2]
250,ADSGn.DE,20151001,07:00:22.069,2,Quote,,,,72.7,4389,,,TRADE [GV1_TEXT];   [PRC_QL2]
251,ADSGn.DE,20151001,07:00:22.069,2,Quote,,,,72.7,4180,,,TRADE [GV1_TEXT];   [PRC_QL2]
252,ADSGn.DE,20151001,07:00:22.109,2,Quote,,,,,,72.86,136,TRADE [GV1_TEXT];   [PRC_QL2]
253,ADSGn.DE,20151001,07:00:23.379,2,Quote,,,,72.7,3893,,,TRADE [GV1_TEXT];   [PRC_QL2]
254,ADSGn.DE,20151001,07:00:23.379,2,Trade,,72.7,287,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
255,ADSGn.DE,20151001,07:00:23.479,2,Quote,,,,72.7,3335,,,TRADE [GV1_TEXT];   [PRC_QL2]
256,ADSGn.DE,20151001,07:00:23.479,2,Trade,,72.7,558,,,,, [ACT_FLAG1];TRADE [GV1_TEXT];   [PRC_QL2]
257,ADSGn.DE,20151001,07:00:24.529,2,Quote,,,,,,72.86,185,TRADE [GV1_TEXT];   [PRC_QL2]
258,ADSGn.DE,20151001,07:00:24.529,2,Quote,,,,,,72.86,479,TRADE [GV1_TEXT];   [PRC_QL2]
259,ADSGn.DE,20151001,07:00:24.559,2,Quote,,,,,,72.86,485,TRADE [GV1_TEXT];   [PRC_QL2]
260,ADSGn.DE,20151001,07:00:24.599,2,Quote,,,,,,72.86,509,TRADE [GV1_TEXT];   [PRC_QL2]
261,ADSGn.DE,20151001,07:00:24.629,2,Quote,,,,,,72.86,538,TRADE [GV1_TEXT];   [PRC_QL2]
